CODE,NUTS3,POPULATION,POP_DENS,POP_60,P_POP_60,P_MALES,POP 014,P_POP_0_14,POP 1529,P_POP_15_29,POP 3044,P_POP_30_44,POP 4559,P_POP_45_59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE_AREA,COVID19_D,COVID19_CCONF,DURATION_LD,LAG_LD,NO2,WIND,TEMP,NTI,PRESSURE,PRECIPITATION,SOLAR_RAD,LAI,PM25
FR,FRG05,680423,100,213189,31.33183,48.7826,117254,17.23252,96385,14.16545,117850,17.32011,135745,19.95009,3,296187,416816,6744.91,43,415,55,53,1.56802,4.13223,12.10484,14.53684,1.14954,64.38861,12567.34056,0.89955,12.10484
FR,FRH01,597254,86,200649,33.59525,48.27377,98266,16.45297,82806,13.86445,94807,15.87382,120726,20.21351,0,273647,363460,6913.33,40,425,55,53,1.4361,4.60609,11.08829,9.91772,1.10196,79.20398,11431.99631,2.01669,11.08829
FR,FRH02,906384,134,272250,30.03694,48.65421,147371,16.25922,146391,16.1511,154279,17.02137,186093,20.53136,0,422128,537186,6715.56,44,907,55,53,1.13897,5.39827,11.2821,11.52598,1.14009,89.14044,11364.95193,2.00696,11.2821
FR,FRH03,1079127,158,252937,23.43904,48.83661,199761,18.51135,211358,19.58602,205536,19.04651,209535,19.41708,4,472950,537773,6775.47,89,1594,55,53,1.77454,4.00686,11.36217,14.95209,1.10013,63.73736,11682.26037,1.52308,11.36217
FR,FRH04,752560,109,239335,31.80278,48.34139,124071,16.48653,108555,14.42476,124915,16.59868,155684,20.68725,2,343433,459041,6822.4,96,668,55,53,1.21779,4.24439,11.75403,11.58452,1.14001,75.51399,11840.95489,1.81871,11.75403
FR,FRI31,350578,59,115035,32.81295,48.36613,54092,15.42938,50674,14.45442,57137,16.29794,73640,21.00531,1,162447,195968,5937.7,13,170,55,53,1.34127,3.00478,12.19143,7.60466,1.10019,72.04356,12527.51716,1.10087,12.19143
FR,FRI32,647119,93,227104,35.09463,47.7396,95966,14.82973,90914,14.04904,102839,15.89182,130296,20.13478,2,304556,427310,6882.75,51,421,55,53,1.3008,3.76262,12.6336,12.55225,1.17306,69.84306,12701.015,0.87358,12.6336
FR,FRI33,375404,62,112630,30.00234,48.81035,65613,17.47797,54197,14.43698,64583,17.2036,78381,20.87911,1,166720,192446,5994.28,22,304,55,53,1.63102,3.57931,11.57291,8.32758,1.08299,68.76735,12411.02598,0.74438,11.57291
FR,FRI34,438028,62,125920,28.74702,48.1919,72037,16.44575,80895,18.468,74221,16.94435,84955,19.39488,1,202198,237778,6985.16,40,409,55,53,1.37468,3.59759,11.48581,8.11111,1.07745,61.83738,12194.8279,0.79763,11.48581
FR,FRI11,409873,44,151941,37.07026,48.16541,57730,14.08485,51438,12.54974,61649,15.041,87115,21.25414,1,192209,256710,9178.27,14,272,55,53,1.07343,2.48547,12.42515,6.4957,1.10333,78.84155,12676.94325,1.34408,12.42515
FR,FRI12,1625317,160,404792,24.90542,48.12089,275364,16.94217,308154,18.95962,314651,19.35936,322356,19.83342,6,735252,842290,10125.82,165,4946,55,53,1.34896,3.09081,12.71261,12.70241,1.19233,76.39185,12755.19638,1.17721,12.71261
FR,FRI13,410115,44,133433,32.53551,48.42812,63912,15.58392,54518,13.29334,70853,17.27637,87399,21.31085,2,184668,252070,9333.94,1,302,55,53,1.03571,2.65992,12.99973,7.49145,1.18845,91.03831,12787.30746,1.29227,12.99973
FR,FRI14,330507,61,110052,33.29793,48.12213,53066,16.05594,46469,14.05991,53801,16.27832,67119,20.30789,0,151192,184028,5368.13,12,447,55,53,1.00516,2.46587,12.59544,7.29626,1.14577,80.08574,12855.05713,1.04106,12.59544
FR,FRI15,680576,89,209342,30.75953,48.03637,105432,15.49158,103569,15.21784,119375,17.54029,142858,20.99075,2,313694,399692,7673.01,27,1086,55,53,0.68917,3.08816,12.44442,8.94346,1.07913,102.40841,13077.75072,1.46945,12.44442
FR,FRJ21,152529,31,51286,33.62377,49.20638,23487,15.39838,20788,13.62888,24780,16.24609,32188,21.10287,0,71043,108491,4912.28,2,111,55,53,0.76145,4.33681,9.33561,6.83295,0.91094,85.20293,14127.73589,2.2925,9.33561
FR,FRJ22,278271,32,96728,34.76036,49.2254,41905,15.05906,37283,13.39809,44104,15.8493,58251,20.93319,0,128816,179739,8746.97,24,212,55,53,0.87446,3.8611,10.55379,4.99221,0.96142,64.71666,13453.43951,1.28478,10.55379
FR,FRJ23,1394677,219,300204,21.52498,48.63994,244288,17.51574,295137,21.16167,286232,20.52317,268816,19.27443,6,637625,703119,6355.41,83,3881,55,53,0.93279,3.26402,11.96598,17.53081,1.08593,73.749,13573.45968,1.0415,11.96598
FR,FRJ24,189536,30,67042,35.37164,48.73428,28156,14.85523,23707,12.50791,29261,15.43823,41370,21.82699,0,86996,109293,6289.93,23,394,55,53,1.00136,2.79261,12.67949,5.50039,1.14571,89.03391,13130.4284,0.72231,12.67949
FR,FRJ25,171950,33,65988,38.37627,48.33789,23341,13.57429,21432,12.46409,24948,14.50887,36241,21.07648,1,81935,117222,5206.28,22,91,55,53,1.11624,2.70828,11.95584,3.91855,1.07378,69.82635,12960.59198,1.48389,11.95584
FR,FRJ26,225410,50,79654,35.33739,47.98545,32034,14.21144,31319,13.89424,34696,15.3924,47707,21.16454,1,106492,160664,4518.44,27,411,55,53,0.64698,3.89772,9.28189,8.49986,0.89452,100.26944,13783.46467,1.57126,9.28189
FR,FRJ27,388223,67,124562,32.08517,48.10766,63069,16.24556,56045,14.43629,63987,16.48202,80560,20.75096,1,174944,209191,5771.62,23,531,55,53,1.31757,3.68391,12.02812,7.815,1.06541,64.73244,13485.61829,1.40766,12.02812
FR,FRJ28,262169,70,74611,28.45912,48.92073,48241,18.40073,38513,14.69014,47282,18.03493,53522,20.41508,4,111643,129942,3721.66,7,396,55,53,1.16136,2.80247,12.62517,7.979,1.13674,66.07069,13146.09298,0.95738,12.62517
FR,FRI21,241290,41,83480,34.59737,48.59091,35467,14.69891,34520,14.30644,38340,15.88959,49483,20.50769,0,113263,153242,5867.21,37,146,55,53,1.02599,2.91771,10.57574,5.5871,0.98572,76.80811,12697.06015,2.07039,10.57574
